# S  V_numerical  V_exact  Error
1.32663317e+02  3.79966343e+01  3.79878606e+01  8.77368188e-03
1.34170854e+02  3.94511054e+01  3.94401866e+01  1.09188273e-02
1.35678392e+02  4.09125028e+01  4.08989706e+01  1.35321772e-02
1.37185930e+02  4.23802208e+01  4.23635148e+01  1.67060605e-02
1.38693467e+02  4.38537342e+01  4.38331874e+01  2.05467778e-02
1.40201005e+02  4.53325943e+01  4.53074182e+01  2.51760862e-02
1.41708543e+02  4.68164263e+01  4.67856935e+01  3.07327568e-02
1.43216080e+02  4.83049260e+01  4.82675518e+01  3.73741922e-02
1.44723618e+02  4.97978575e+01  4.97525794e+01  4.52780928e-02
1.46231156e+02  5.12950504e+01  5.12404063e+01  5.46441571e-02
1.47738693e+02  5.27963979e+01  5.27307021e+01  6.56957994e-02
1.49246231e+02  5.43018543e+01  5.42231724e+01  7.86818670e-02
1.50753769e+02  5.58114341e+01  5.57175557e+01  9.38783387e-02
1.52261307e+02  5.73252096e+01  5.72136196e+01  1.11589983e-01
1.53768844e+02  5.88433101e+01  5.87111581e+01  1.32151953e-01
1.55276382e+02  6.03659206e+01  6.02099893e+01  1.55931305e-01
1.56783920e+02  6.18932804e+01  6.17099520e+01  1.83328400e-01
1.58291457e+02  6.34256827e+01  6.32109046e+01  2.14778182e-01
1.59798995e+02  6.49634731e+01  6.47127218e+01  2.50751311e-01
1.61306533e+02  6.65070489e+01  6.62152938e+01  2.91755105e-01
1.62814070e+02  6.80568584e+01  6.77185241e+01  3.38334305e-01
1.64321608e+02  6.96133993e+01  6.92223277e+01  3.91071613e-01
1.65829146e+02  7.11772185e+01  7.07266306e+01  4.50587997e-01
1.67336683e+02  7.27489103e+01  7.22313676e+01  5.17542745e-01
1.68844221e+02  7.43291151e+01  7.37364819e+01  5.92633254e-01
1.70351759e+02  7.59185184e+01  7.52419239e+01  6.76594529e-01
1.71859296e+02  7.75178486e+01  7.67476502e+01  7.70198405e-01
1.73366834e+02  7.91278756e+01  7.82536231e+01  8.74252455e-01
1.74874372e+02  8.07494084e+01  7.97598098e+01  9.89598605e-01
1.76381910e+02  8.23832929e+01  8.12661814e+01  1.11711143e+00
1.77889447e+02  8.40304094e+01  8.27727133e+01  1.25769616e+00
1.79396985e+02  8.56916700e+01  8.42793837e+01  1.41228637e+00
1.80904523e+02  8.73680152e+01  8.57861738e+01  1.58184137e+00
1.82412060e+02  8.90604108e+01  8.72930675e+01  1.76734332e+00
1.83919598e+02  9.07698446e+01  8.88000505e+01  1.96979407e+00
1.85427136e+02  9.24973224e+01  9.03071106e+01  2.19021176e+00
1.86934673e+02  9.42438645e+01  9.18142374e+01  2.42962711e+00
1.88442211e+02  9.60105011e+01  9.33214215e+01  2.68907959e+00
1.89949749e+02  9.77982684e+01  9.48286550e+01  2.96961331e+00
1.91457286e+02  9.96082041e+01  9.63359313e+01  3.27227280e+00
1.92964824e+02  1.01441343e+02  9.78432442e+01  3.59809860e+00
1.94472362e+02  1.03298711e+02  9.93505887e+01  3.94812275e+00
1.95979899e+02  1.05181325e+02  1.00857960e+02  4.32336419e+00
1.97487437e+02  1.07090180e+02  1.02365356e+02  4.72482414e+00
1.98994975e+02  1.09026252e+02  1.03872771e+02  5.15348137e+00
2.00502513e+02  1.10990491e+02  1.05380204e+02  5.61028756e+00
2.02010050e+02  1.12983814e+02  1.06887651e+02  6.09616268e+00
2.03517588e+02  1.15007102e+02  1.08395111e+02  6.61199036e+00
2.05025126e+02  1.17061196e+02  1.09902583e+02  7.15861348e+00
2.06532663e+02  1.19146893e+02  1.11410063e+02  7.73682980e+00
2.08040201e+02  1.21264940e+02  1.12917552e+02  8.34738778e+00
2.09547739e+02  1.23416030e+02  1.14425048e+02  8.99098254e+00
2.11055276e+02  1.25600802e+02  1.15932550e+02  9.66825213e+00
2.12562814e+02  1.27819830e+02  1.17440056e+02  1.03797739e+01
2.14070352e+02  1.30073629e+02  1.18947568e+02  1.11260612e+01
2.15577889e+02  1.32362643e+02  1.20455083e+02  1.19075605e+01
2.17085427e+02  1.34687249e+02  1.21962601e+02  1.27246483e+01
2.18592965e+02  1.37047751e+02  1.23470122e+02  1.35776291e+01
2.20100503e+02  1.39444378e+02  1.24977645e+02  1.44667328e+01
2.21608040e+02  1.41877284e+02  1.26485171e+02  1.53921135e+01
2.23115578e+02  1.44346546e+02  1.27992698e+02  1.63538474e+01
2.24623116e+02  1.46852159e+02  1.29500227e+02  1.73519324e+01
2.26130653e+02  1.49394043e+02  1.31007757e+02  1.83862865e+01
2.27638191e+02  1.51972036e+02  1.32515288e+02  1.94567483e+01
2.29145729e+02  1.54585896e+02  1.34022820e+02  2.05630760e+01
2.30653266e+02  1.57235301e+02  1.35530353e+02  2.17049483e+01
2.32160804e+02  1.59919851e+02  1.37037886e+02  2.28819649e+01
2.33668342e+02  1.62639068e+02  1.38545421e+02  2.40936472e+01
2.35175879e+02  1.65392395e+02  1.40052955e+02  2.53394397e+01
2.36683417e+02  1.68179202e+02  1.41560490e+02  2.66187114e+01
2.38190955e+02  1.70998784e+02  1.43068026e+02  2.79307580e+01
2.39698492e+02  1.73850365e+02  1.44575561e+02  2.92748036e+01
2.41206030e+02  1.76733101e+02  1.46083098e+02  3.06500031e+01
2.42713568e+02  1.79646079e+02  1.47590634e+02  3.20554452e+01
2.44221106e+02  1.82588325e+02  1.49098170e+02  3.34901548e+01
2.45728643e+02  1.85558803e+02  1.50605707e+02  3.49530964e+01
2.47236181e+02  1.88556421e+02  1.52113244e+02  3.64431771e+01
2.48743719e+02  1.91580031e+02  1.53620781e+02  3.79592501e+01
2.50251256e+02  1.94628436e+02  1.55128318e+02  3.95001183e+01
2.51758794e+02  1.97700393e+02  1.56635855e+02  4.10645377e+01
2.53266332e+02  2.00794614e+02  1.58143392e+02  4.26512217e+01
2.54773869e+02  2.03909774e+02  1.59650929e+02  4.42588444e+01
2.56281407e+02  2.07044512e+02  1.61158467e+02  4.58860452e+01
2.57788945e+02  2.10197436e+02  1.62666004e+02  4.75314321e+01
2.59296482e+02  2.13367128e+02  1.64173542e+02  4.91935861e+01
2.60804020e+02  2.16552144e+02  1.65681079e+02  5.08710652e+01
2.62311558e+02  2.19751025e+02  1.67188616e+02  5.25624084e+01
2.63819095e+02  2.22962294e+02  1.68696154e+02  5.42661396e+01
2.65326633e+02  2.26184463e+02  1.70203692e+02  5.59807717e+01
2.66834171e+02  2.29416039e+02  1.71711229e+02  5.77048103e+01
2.68341709e+02  2.32655524e+02  1.73218767e+02  5.94367577e+01
2.69849246e+02  2.35901421e+02  1.74726304e+02  6.11751166e+01
2.71356784e+02  2.39152236e+02  1.76233842e+02  6.29183936e+01
2.72864322e+02  2.42406482e+02  1.77741380e+02  6.46651029e+01
2.74371859e+02  2.45662687e+02  1.79248917e+02  6.64137697e+01
2.75879397e+02  2.48919388e+02  1.80756455e+02  6.81629332e+01
2.77386935e+02  2.52175143e+02  1.82263992e+02  6.99111501e+01
2.78894472e+02  2.55428528e+02  1.83771530e+02  7.16569976e+01
2.80402010e+02  2.58678143e+02  1.85279068e+02  7.33990757e+01
2.81909548e+02  2.61922616e+02  1.86786605e+02  7.51360105e+01
2.83417085e+02  2.65160600e+02  1.88294143e+02  7.68664566e+01
2.84924623e+02  2.68390780e+02  1.89801681e+02  7.85890991e+01
2.86432161e+02  2.71611875e+02  1.91309218e+02  8.03026563e+01
2.87939698e+02  2.74822637e+02  1.92816756e+02  8.20058811e+01
2.89447236e+02  2.78021857e+02  1.94324294e+02  8.36975637e+01
2.90954774e+02  2.81208364e+02  1.95831831e+02  8.53765323e+01
2.92462312e+02  2.84381025e+02  1.97339369e+02  8.70416555e+01
2.93969849e+02  2.87538750e+02  1.98846907e+02  8.86918431e+01
2.95477387e+02  2.90680492e+02  2.00354445e+02  9.03260474e+01
2.96984925e+02  2.93805246e+02  2.01861982e+02  9.19432643e+01
2.98492462e+02  2.96912054e+02  2.03369520e+02  9.35425341e+01
3.00000000e+02  2.04877058e+02  2.04877058e+02  2.57756767e-08
